Двигатель_1.8L_бензин - Ford 75369 Да Воронеж_ул._Южная_д._31 18 - объем:1.8L топливо:бензин мощность:120л.с.
Двигатель_1.4L_бензин - Mercedes 299798 Да Самара_ул._Автобусная_д._42 17 - объем:1.4L топливо:бензин мощность:144л.с.
Двигатель_1.5L_бензин - Subaru 294184 Да Санкт-Петербург_ул._Машиностроителей_д._9 16 - объем:1.5L топливо:бензин мощность:296л.с.
Двигатель_1.6L_бензин - Honda 150461 Нет Екатеринбург_пр._Индустриальный_д._33 21 - объем:1.6L топливо:бензин мощность:271л.с.
Двигатель_2.0L_дизель - Honda 281708 Да Санкт-Петербург_пр._Энергетиков_д._42 7 - объем:2.0L топливо:дизель мощность:112л.с.
Двигатель_2.0L_бензин - Toyota 335414 Да Нижний_Новгород_ул._Моторная_д._31 7 - объем:2.0L топливо:бензин мощность:83л.с.
Двигатель_1.4L_бензин - Mercedes 75866 Да Москва_ул._Техническая_д._23 28 - объем:1.4L топливо:бензин мощность:96л.с.
Двигатель_2.0L_бензин - Volkswagen 314565 Да Санкт-Петербург_ул._Машиностроителей_д._9 21 - объем:2.0L топливо:бензин мощность:328л.с.
Двигатель_1.6L_бензин - Honda 114369 Нет Санкт-Петербург_пр._Энергетиков_д._42 25 - объем:1.6L топливо:бензин мощность:322л.с.
Двигатель_1.9L_дизель - Ford 94453 Да Омск_пр._Мира_д._56 13 - объем:1.9L топливо:дизель мощность:261л.с.
Двигатель_1.9L_дизель - Mitsubishi 289855 Да Омск_пр._Мира_д._56 20 - объем:1.9L топливо:дизель мощность:130л.с.
Двигатель_1.3L_бензин - Mitsubishi 222892 Да Санкт-Петербург_пр._Энергетиков_д._42 6 - объем:1.3L топливо:бензин мощность:177л.с.
Двигатель_2.2L_дизель - Nissan 118495 Нет Санкт-Петербург_пр._Большевиков_д._34 8 - объем:2.2L топливо:дизель мощность:316л.с.
Двигатель_1.6L_бензин - Volkswagen 277328 Да Москва_ул._Дорожная_д._7 20 - объем:1.6L топливо:бензин мощность:87л.с.
Двигатель_1.4L_бензин - Ford 132194 Нет Казань_ул._Техническая_д._11 15 - объем:1.4L топливо:бензин мощность:189л.с.
Двигатель_1.9L_дизель - Toyota 131317 Нет Москва_ул._Автомоторная_д._15 12 - объем:1.9L топливо:дизель мощность:215л.с.
Двигатель_2.0L_дизель - Renault 266777 Нет Москва_ул._Механическая_д._5 6 - объем:2.0L топливо:дизель мощность:231л.с.
Двигатель_1.6L_бензин - Toyota 348657 Да Самара_ул._Заводская_д._19 10 - объем:1.6L топливо:бензин мощность:109л.с.
Двигатель_1.3L_бензин - Mazda 294974 Да Москва_ул._Дорожная_д._7 30 - объем:1.3L топливо:бензин мощность:340л.с.
Двигатель_1.4L_бензин - BMW 80924 Да Омск_пр._Мира_д._56 27 - объем:1.4L топливо:бензин мощность:200л.с.
Двигатель_1.9L_дизель - Volkswagen 343673 Да Нижний_Новгород_ул._Моторная_д._31 19 - объем:1.9L топливо:дизель мощность:100л.с.
Двигатель_2.5L_дизель - Volkswagen 264794 Нет Пермь_ул._Индустриальная_д._9 8 - объем:2.5L топливо:дизель мощность:184л.с.
Двигатель_3.0L_дизель - Mercedes 209722 Да Санкт-Петербург_ул._Машиностроителей_д._9 12 - объем:3.0L топливо:дизель мощность:147л.с.
Двигатель_3.0L_дизель - Subaru 202284 Нет Екатеринбург_ул._Машиностроителей_д._7 29 - объем:3.0L топливо:дизель мощность:117л.с.
Двигатель_1.3L_бензин - Nissan 340170 Да Москва_ул._Техническая_д._23 17 - объем:1.3L топливо:бензин мощность:189л.с.
Двигатель_2.2L_дизель - Renault 114445 Нет Воронеж_ул._Южная_д._31 2 - объем:2.2L топливо:дизель мощность:205л.с.
Двигатель_2.0L_бензин - Renault 127704 Нет Уфа_ул._Дорожная_д._27 17 - объем:2.0L топливо:бензин мощность:234л.с.
Двигатель_2.5L_дизель - Subaru 322317 Да Омск_пр._Мира_д._56 26 - объем:2.5L топливо:дизель мощность:233л.с.
Двигатель_3.0L_дизель - Volkswagen 115407 Нет Москва_пр._Автозаводский_д._12 28 - объем:3.0L топливо:дизель мощность:134л.с.
Двигатель_1.4L_турбо - Honda 126499 Нет Санкт-Петербург_пр._Металлистов_д._27 19 - объем:1.4L топливо:турбо мощность:187л.с.
Двигатель_1.4L_турбо - Hyundai 151743 Нет Казань_ул._Инструментальная_д._19 15 - объем:1.4L топливо:турбо мощность:208л.с.
